"Energy","Water","Protein","Fats","Sugars","Starch","Alcohol","Fibre","Group"
"Ham lean boiled",134,69.7,18,5.7,0.4,2.1,0,0.1," Meat"
"Ham shoulder medium fat boiled",133,72.6,16.4,6.2,0.6,1.9,0,0.4," Meat"
"Sausage incl liver products av",335,48.8,15.1,29.4,0.7,1.7,0,0.3," Meat"
"Beef steak tartare spiced filet americain",240,59.4,14.2,18.8,1.3,1.7,0,0.9," Meat"
"Processed meat products >30 g fat av",374,43.9,15.7,33.4,0.9,1.4,0,0.5," Meat"
"Salami",392,41.9,18.7,34.8,0.8,0.1,0,0," Meat"
"Meatloaf (processed meat product)",304,54.5,12.8,25.6,2,3.6,0,0.3," Meat"
"Sausage cooked",357,49.1,11.3,33,1.1,2.6,0,0," Meat"
"Processed meat products 20-30 g fat av",308,53.3,13.2,26.8,0.7,2.4,0,0.2," Meat"
"Processed meat products 10-20 g fat av",203,63.4,15.6,14.3,0.5,2.5,0,0.1," Meat"
"Processed meat products <10 g fat av",152,68.6,17.9,7.7,0.8,1.6,0,0.3," Meat"
"Liver sausage coarse hausmacher",266,56,15.4,20.4,1,4.2,0,0," Meat"
"Liver pate sausage",319,53.7,12.3,28.6,0.2,2.8,0,0.3," Meat"
"Sausage dry sucuk Turkish",446,35.4,20.4,37.5,0,6.7,0,0," Meat"
"Sausage dry salam Turkish",271,58.1,14.8,20.6,0,6.5,0,0," Meat"
"Liver pate/Berliner liver sausage",319,51.9,12.3,27.6,0.3,4.2,0,0.2," Meat"
"Pork fricandeau fried (processed meat product)",117,71.5,21.6,2.8,1.3,0,0,0.4," Meat"
"Brawn, pork pickled in vinegar",264,60.1,12.5,23,0,1.7,0,0," Meat"
"Sausage tongue",247,58.7,17.2,18.8,2,0,0,0.1," Meat"
"Bacon rasher streaky grilled",261,57.9,15.2,22.1,0.5,0,0,0," Meat"
"Ham lean grilled",119,71.6,18.9,3.9,1.8,0,0,0.1," Meat"
"Gammon boiled deboned",127,71.1,18.3,5,1.2,1,0,0.1," Meat"
"Processed meat prod excl liver av",225,60.7,16.6,16.4,0.8,1.7,0,0.3," Meat"
"Processed meat prod <10 g fat excl liver av",135,70.4,18.6,5.6,0.7,1.5,0,0.2," Meat"
"Sausage excl liver products av",342,47.6,15.5,30,0.8,1.5,0,0.3," Meat"
"Processed meat prod 20-30 g fat excl liver av",305,53.3,13,26.4,1.1,2.5,0,0.2," Meat"
"Processed meat prod >30 g fat excl liver av",375,43.5,16.6,33.4,0.8,1.1,0,0.4," Meat"
"Sausage cooked lean",221,65.9,14,17,1,2,0,0.1," Meat"
