"Energy","Water","Protein","Fats","Sugars","Starch","Alcohol","Fibre","Group"
"Vegetables for stir-frying Dutch cooked",26,92,1.6,0.3,2.4,0.8,0,2.3,"Vegetables"
"Vegetables for stir-frying Italian cooked",27,92.2,1.1,0.3,2.9,1,0,2.1,"Vegetables"
"Vegetables for stir-frying oriental cooked",22,93.3,1,0.2,2.1,0.7,0,2.3,"Vegetables"
"Seaweed nori dried",254,6.5,31.5,1.5,0.6,9.9,0,36.3,"Vegetables"
"Vegetables for stir-frying mushroom cooked",25,91.6,1.9,0.3,1.6,1,0,1.9,"Vegetables"
"Artichoke hearts canned",27,90,2.1,0.4,0.7,0.8,0,4.8,"Vegetables"
"Lettuce romaine raw",17,94.6,1.2,0.3,1.2,0,0,2.1,"Vegetables"
"Bami vegetables raw",27,92.1,1.8,0.1,2.9,0.6,0,2.2,"Vegetables"
"Vegetables for stir-frying mushroom raw",26,92.3,1.7,0.3,2.2,0.6,0,2.3,"Vegetables"
"Vegetables for stir-frying Dutch raw",27,91.7,1.5,0.3,2.8,0.7,0,2.6,"Vegetables"
"Vegetables for stir-frying Italian raw",28,91.5,1.2,0.2,3.5,0.7,0,2.4,"Vegetables"
"Vegetables for stir-frying Oriental raw",29,91.3,1.7,0.2,3.4,0.5,0,2.6,"Vegetables"
"Chips vegetable pre-fried frozen unprepared",142,70.2,2.2,7,5.9,9.1,0,5.2,"Vegetables"
"Garlic cooked wo fat",127,65.4,5.6,0.3,1.4,22.4,0,2.7,"Vegetables"
"Jerusalem artichoke raw",75,78,2,0.5,1.5,11.9,0,4.3,"Vegetables"
